C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0
200201,LNZ,1,3
200201,LNZ,2,1
200201,LNZ,2,2
200201,LNZ,2,3
200201,SZG,1,1
200201,SZG,1,2
200201,SZG,1,3
200201,SZG,2,1
200201,SZG,2,2
200201,SZG,2,3
200202,VIE,1,1
200202,VIE,1,2
200202,VIE,1,3
200202,VIE,2,1
200202,VIE,2,2
200202,VIE,2,3
200202,GRZ,1,1
200202,GRZ,1,2
200202,GRZ,2,1
200202,GRZ,2,2
200202,GRZ,2,3
200202,INN,1,1
200202,INN,1,2
200202,INN,1,3
200202,INN,2,1
200202,INN,2,2
200202,INN,2,3
200202,KLU,1,1
200202,KLU,1,2
200202,KLU,2,1
200202,KLU,2,2
200202,LNZ,1,1
200202,LNZ,1,2
200202,LNZ,1,3
200202,LNZ,2,1
200202,LNZ,2,2
200202,LNZ,2,3
200202,SZG,1,1
200202,SZG,1,2
200202,SZG,1,3
200202,SZG,2,1
200202,SZG,2,2
200202,SZG,2,3
200203,VIE,1,1
200203,VIE,1,2
200203,VIE,1,3
200203,VIE,2,1
200203,VIE,2,2
200203,VIE,2,3
200203,GRZ,1,1
200203,GRZ,1,2
200203,GRZ,2,1
200203,GRZ,2,2
200203,GRZ,2,3
200203,INN,1,1
200203,INN,1,2
200203,INN,1,3
200203,INN,2,1
200203,INN,2,2
200203,INN,2,3
200203,KLU,1,1
200203,KLU,1,2
200203,KLU,2,1
200203,KLU,2,2
200203,LNZ,1,1
200203,LNZ,1,2
200203,LNZ,1,3
200203,LNZ,2,1
200203,LNZ,2,2
200203,LNZ,2,3
200203,SZG,1,1
200203,SZG,1,2
200203,SZG,1,3
200203,SZG,2,1
200203,SZG,2,2
200203,SZG,2,3
200204,VIE,1,1
200204,VIE,1,2
200204,VIE,1,3
200204,VIE,2,1
200204,VIE,2,2
200204,VIE,2,3
200204,GRZ,1,1
200204,GRZ,1,2
200204,GRZ,2,1
200204,GRZ,2,2
200204,GRZ,2,3
200204,INN,1,1
200204,INN,1,2
200204,INN,1,3
200204,INN,2,1
200204,INN,2,2
200204,INN,2,3
200204,KLU,1,1
200204,KLU,1,2
200204,KLU,2,1
200204,KLU,2,2
200204,LNZ,1,1
200204,LNZ,1,2
200204,LNZ,1,3
200204,LNZ,2,1
200204,LNZ,2,2
200204,LNZ,2,3
200204,SZG,1,1
200204,SZG,1,2
200204,SZG,1,3
200204,SZG,2,1
200204,SZG,2,2
200204,SZG,2,3
200205,VIE,1,1
200205,VIE,1,2
200205,VIE,1,3
200205,VIE,2,1
200205,VIE,2,2
200205,VIE,2,3
200205,GRZ,1,1
200205,GRZ,1,2
200205,GRZ,1,3
200205,GRZ,2,1
200205,GRZ,2,2
200205,GRZ,2,3
200205,INN,1,1
200205,INN,1,2
200205,INN,1,3
200205,INN,2,1
200205,INN,2,2
200205,INN,2,3
200205,KLU,1,1
200205,KLU,1,2
200205,KLU,2,1
200205,KLU,2,2
200205,KLU,2,3
200205,LNZ,1,1
200205,LNZ,1,2
200205,LNZ,1,3
200205,LNZ,2,1
200205,LNZ,2,2
200205,LNZ,2,3
200205,SZG,1,1
200205,SZG,1,2
200205,SZG,1,3
200205,SZG,2,1
200205,SZG,2,2
200205,SZG,2,3
200206,VIE,1,1
200206,VIE,1,2
200206,VIE,1,3
200206,VIE,2,1
200206,VIE,2,2
200206,VIE,2,3
200206,GRZ,1,1
200206,GRZ,1,2
200206,GRZ,2,1
200206,GRZ,2,2
200206,GRZ,2,3
200206,INN,1,1
200206,INN,1,2
200206,INN,1,3
200206,INN,2,1
200206,INN,2,2
200206,INN,2,3
200206,KLU,1,1
200206,KLU,1,2
200206,KLU,2,1
200206,KLU,2,2
200206,KLU,2,3
200206,LNZ,1,1
200206,LNZ,1,2
200206,LNZ,1,3
200206,LNZ,2,1
200206,LNZ,2,2
200206,LNZ,2,3
200206,SZG,1,1
200206,SZG,1,2
200206,SZG,1,3
200206,SZG,2,1
200206,SZG,2,2
200206,SZG,2,3
200207,VIE,1,1
200207,VIE,1,2
200207,VIE,1,3
200207,VIE,2,1
200207,VIE,2,2
200207,VIE,2,3
200207,GRZ,1,1
200207,GRZ,1,2
200207,GRZ,1,3
200207,GRZ,2,1
200207,GRZ,2,2
200207,GRZ,2,3
200207,INN,1,1
200207,INN,1,2
200207,INN,1,3
200207,INN,2,1
200207,INN,2,2
200207,INN,2,3
200207,KLU,1,1
200207,KLU,1,2
200207,KLU,2,1
200207,KLU,2,2
200207,KLU,2,3
200207,LNZ,1,1
200207,LNZ,1,2
200207,LNZ,1,3
200207,LNZ,2,1
200207,LNZ,2,2
200207,LNZ,2,3
200207,SZG,1,1
200207,SZG,1,2
200207,SZG,1,3
200207,SZG,2,1
200207,SZG,2,2
200207,SZG,2,3
200208,VIE,1,1
200208,VIE,1,2
200208,VIE,1,3
200208,VIE,2,1
200208,VIE,2,2
200208,VIE,2,3
200208,GRZ,1,1
200208,GRZ,1,2
200208,GRZ,1,3
200208,GRZ,2,1
200208,GRZ,2,2
200208,GRZ,2,3
200208,INN,1,1
200208,INN,1,2
200208,INN,1,3
200208,INN,2,1
200208,INN,2,2
200208,INN,2,3
200208,KLU,1,1
200208,KLU,1,2
200208,KLU,1,3
200208,KLU,2,1
200208,KLU,2,2
200208,KLU,2,3
200208,LNZ,1,1
200208,LNZ,1,2
200208,LNZ,1,3
200208,LNZ,2,1
200208,LNZ,2,2
200208,LNZ,2,3
200208,SZG,1,1
200208,SZG,1,2
200208,SZG,1,3
200208,SZG,2,1
200208,SZG,2,2
200208,SZG,2,3
200209,VIE,1,1
200209,VIE,1,2
200209,VIE,1,3
200209,VIE,2,1
200209,VIE,2,2
200209,VIE,2,3
200209,GRZ,1,1
200209,GRZ,1,2
200209,GRZ,1,3
200209,GRZ,2,1
200209,GRZ,2,2
200209,GRZ,2,3
200209,INN,1,1
200209,INN,1,2
200209,INN,1,3
200209,INN,2,1
200209,INN,2,2
200209,INN,2,3
200209,KLU,1,1
200209,KLU,1,2
200209,KLU,2,1
200209,KLU,2,2
200209,KLU,2,3
200209,LNZ,1,1
200209,LNZ,1,2
200209,LNZ,1,3
200209,LNZ,2,1
200209,LNZ,2,2
200209,LNZ,2,3
200209,SZG,1,1
200209,SZG,1,2
200209,SZG,1,3
200209,SZG,2,1
200209,SZG,2,2
200209,SZG,2,3
200210,VIE,1,1
200210,VIE,1,2
200210,VIE,1,3
200210,VIE,2,1
200210,VIE,2,2
200210,VIE,2,3
200210,GRZ,1,1
200210,GRZ,1,2
200210,GRZ,2,1
200210,GRZ,2,2
200210,GRZ,2,3
200210,INN,1,1
200210,INN,1,2
200210,INN,1,3
200210,INN,2,1
200210,INN,2,2
200210,INN,2,3
200210,KLU,1,1
200210,KLU,1,2
200210,KLU,2,1
200210,KLU,2,2
200210,KLU,2,3
200210,LNZ,1,1
200210,LNZ,1,2
200210,LNZ,1,3
200210,LNZ,2,1
200210,LNZ,2,2
200210,LNZ,2,3
200210,SZG,1,1
200210,SZG,1,2
200210,SZG,1,3
200210,SZG,2,1
200210,SZG,2,2
200210,SZG,2,3
200211,VIE,1,1
200211,VIE,1,2
200211,VIE,1,3
200211,VIE,2,1
200211,VIE,2,2
200211,VIE,2,3
200211,GRZ,1,1
200211,GRZ,1,2
200211,GRZ,1,3
200211,GRZ,2,1
200211,GRZ,2,2
200211,GRZ,2,3
200211,INN,1,1
200211,INN,1,2
200211,INN,1,3
200211,INN,2,1
200211,INN,2,2
200211,INN,2,3
200211,KLU,1,1
200211,KLU,1,2
200211,KLU,2,1
200211,KLU,2,2
200211,LNZ,1,1
200211,LNZ,1,2
200211,LNZ,1,3
200211,LNZ,2,1
200211,LNZ,2,2
200211,LNZ,2,3
200211,SZG,1,1
200211,SZG,1,2
200211,SZG,1,3
200211,SZG,2,1
200211,SZG,2,2
200211,SZG,2,3
200212,VIE,1,1
200212,VIE,1,2
200212,VIE,1,3
200212,VIE,2,1
200212,VIE,2,2
200212,VIE,2,3
200212,GRZ,1,1
200212,GRZ,1,2
200212,GRZ,2,1
200212,GRZ,2,2
200212,GRZ,2,3
200212,INN,1,1
200212,INN,1,2
200212,INN,1,3
200212,INN,2,1
200212,INN,2,2
200212,KLU,1,1
200212,KLU,1,2
200212,KLU,1,3
200212,KLU,2,1
200212,KLU,2,2
200212,LNZ,1,1
200212,LNZ,1,2
200212,LNZ,1,3
200212,LNZ,2,1
200212,LNZ,2,2
200212,LNZ,2,3
200212,SZG,1,1
200212,SZG,1,2
200212,SZG,1,3
200212,SZG,2,1
200212,SZG,2,2
